DSH_target,charge_target,P_cond [MPa],P_eva [MPa],Q_cond [kW],Q_eva [kW],W_comp [kW],COP_H,COP_R,mtot [kg],mdot [kg/s],DSH [K],DSC [K]
6.684210526,0.526315789,2.917593937,1.192243881,9.564634558,8.008863415,1.632509498,5.858853851,4.905860226,0.031077651,0.031077651,6.684210526,8.852940682
7.157894737,0.526315789,2.915602827,1.191868851,9.555885592,7.996568342,1.631412709,5.857429907,4.901621949,0.030966371,0.030966371,7.157894737,8.857469857
7.631578947,0.526315789,2.913622473,1.191487996,9.547147764,7.984294583,1.630319219,5.855999031,4.897381134,0.030856184,0.030856184,7.631578947,8.861704875
8.105263158,0.526315789,2.911652689,1.191101375,9.538421278,7.972041973,1.629229115,5.854561027,4.893137437,0.030747063,0.030747063,8.105263158,8.865653884
8.578947368,0.526315789,2.909145501,1.189559253,9.522517942,7.952974332,1.628104153,5.848838311,4.884806859,0.030608854,0.030608854,8.578947368,8.874315838
9.052631579,0.526315789,2.907021114,1.188741016,9.510960641,7.938021698,1.627023999,5.845617918,4.878859626,0.030490945,0.030490945,9.052631579,8.875718404
9.526315789,0.526315789,2.904895077,1.187899368,9.499546919,7.923229174,1.62594483,5.842478014,4.873000012,0.030373651,0.030373651,9.526315789,8.880909043
10,0.526315789,2.902901929,1.187044856,9.488189235,7.908419329,1.624953626,5.839052316,4.866858476,0.030257226,0.030257226,10,8.88770526
5.263157895,0.384210526,2.839039504,1.216840047,9.160045214,7.673512456,1.570941317,5.830927684,4.884658882,0.032054142,0.032054142,5.263157895,5.68E-14
7.631578947,0.384210526,2.829214257,1.213437366,9.129025484,7.624618623,1.565913447,5.829840406,4.869118813,0.031436825,0.031436825,7.631578947,0
7.157894737,0.384210526,2.831103319,1.214007101,9.134708671,7.633886327,1.566915239,5.829740143,4.871920405,0.031554554,0.031554554,7.157894737,0
6.684210526,0.384210526,2.833003799,1.214573224,9.140371287,7.643142068,1.567921205,5.829611372,4.874697812,0.031673519,0.031673519,6.684210526,0
4.789473684,0.384210526,2.840831641,1.217039668,9.163944124,7.681121423,1.571977188,5.82956559,4.886280463,0.032168884,0.032168884,4.789473684,0
6.210526316,0.384210526,2.834915907,1.215135734,9.146012409,7.652385176,1.568931276,5.829453814,4.877450845,0.031793752,0.031793752,6.210526316,0
5.736842105,0.384210526,2.836839843,1.215694643,9.151630969,7.661614749,1.569945353,5.829267211,4.880179259,0.031915289,0.031915289,5.736842105,0
4.315789474,0.384210526,2.84263733,1.2172388,9.167837282,7.688734125,1.57301617,5.82819011,4.887892619,0.032285038,0.032285038,4.315789474,0
3.842105263,0.384210526,2.844456861,1.21743747,9.171723691,7.696350115,1.574058162,5.826801011,4.889495382,0.032402646,0.032402646,3.842105263,0
2.894736842,0.384210526,2.848477696,1.21859057,9.18304692,7.714987845,1.576124461,5.826346298,4.894910291,0.032663384,0.032663384,2.894736842,0
8.105263158,0.384210526,2.826798721,1.211651762,9.117478008,7.609774781,1.564964487,5.825996744,4.862586239,0.031288338,0.031288338,8.105263158,5.68E-14
3.368421053,0.384210526,2.84629051,1.217635725,9.175602183,7.70396863,1.575103043,5.825398041,4.891088658,0.03252175,0.03252175,3.368421053,5.68E-14
8.578947368,0.384210526,2.824732804,1.210623075,9.109570903,7.598402919,1.563990409,5.824569545,4.858343681,0.031161261,0.031161261,8.578947368,0
2.894736842,0.573684211,2.971193787,1.191192659,9.706917204,8.155358245,1.666978009,5.823062542,4.892301038,0.031904837,0.031904837,2.894736842,10.49515066
2.421052632,0.573684211,2.973052436,1.190902031,9.712655113,8.164928162,1.668082769,5.822645789,4.894797976,0.032009906,0.032009906,2.421052632,10.49888376
9.052631579,0.384210526,2.822708636,1.209625966,9.100920634,7.586277404,1.563029515,5.822615983,4.853572715,0.031036346,0.031036346,9.052631579,0.009357935
1.947368421,0.573684211,2.974925265,1.190608699,9.718436697,8.174556694,1.669187952,5.822254278,4.897325482,0.032116349,0.032116349,1.947368421,10.5024024
1.473684211,0.573684211,2.97681255,1.190312628,9.7242621,8.184244695,1.670293301,5.821888943,4.899884763,0.032224207,0.032224207,1.473684211,10.50569744
1,0.573684211,2.978714545,1.190013813,9.730131294,8.193992613,1.671398518,5.821550748,4.902476893,0.032333524,0.032333524,1,10.50875904
3.368421053,0.573684211,2.968918252,1.190609476,9.695519818,8.140435161,1.665816536,5.82028069,4.886753724,0.031777132,0.031777132,3.368421053,10.49297123
3.842105263,0.573684211,2.967091431,1.190628356,9.688221624,8.129331735,1.664785701,5.819500742,4.883110018,0.031667498,0.031667498,3.842105263,10.49128045
4.315789474,0.573684211,2.965124825,1.190644044,9.680858097,8.118275603,1.663656088,5.81902604,4.879779939,0.031559166,0.031559166,4.315789474,10.48713496
4.789473684,0.573684211,2.963171556,1.190656329,9.673533327,8.10727021,1.662528384,5.81856732,4.876470252,0.031452095,0.031452095,4.789473684,10.48277463
5.263157895,0.573684211,2.961231421,1.190665245,9.666247148,8.096315029,1.66140278,5.818123854,4.873180137,0.031346252,0.031346252,5.263157895,10.47820613
9.526315789,0.384210526,2.820252348,1.207613432,9.088222629,7.570344088,1.562116635,5.817889923,4.846209251,0.030886301,0.030886301,9.526315789,0.069760004
5.736842105,0.573684211,2.959304168,1.190670838,9.658999346,8.085409352,1.660279419,5.817695041,4.869908798,0.031241604,0.031241604,5.736842105,10.4734371
10,0.384210526,2.818081157,1.205990855,9.077510988,7.556244816,1.561261683,5.81421493,4.83983236,0.030747854,0.030747854,10,0.125162337
6.210526316,0.573684211,2.956946166,1.189740885,9.645544184,8.068606668,1.659111736,5.813679679,4.863208724,0.031113162,0.031113162,6.210526316,10.46738049
6.684210526,0.573684211,2.954900372,1.189405977,9.636210837,8.055733308,1.657987071,5.811993956,4.85874314,0.031002013,0.031002013,6.684210526,10.46299378
7.157894737,0.573684211,2.952865214,1.189064725,9.6268954,8.0428887,1.656865182,5.81030702,4.854280714,0.030891958,0.030891958,7.157894737,10.45837137
7.631578947,0.573684211,2.950840531,1.188717181,9.617597883,8.03007276,1.655746137,5.808618646,4.849821226,0.03078297,0.03078297,7.631578947,10.45351965
8.105263158,0.573684211,2.948826156,1.188363416,9.608318314,8.017285143,1.654630045,5.80692847,4.845364176,0.030675024,0.030675024,8.105263158,10.44844465
2.421052632,0.431578947,2.873992278,1.206663263,9.391950832,7.910640014,1.618584859,5.802569314,4.887380462,0.032448077,0.032448077,2.421052632,3.577619963
8.578947368,0.573684211,2.946300466,1.186918794,9.591982266,7.997804379,1.653460177,5.801157113,4.837010586,0.03053968,0.03053968,8.578947368,10.44444198
9.052631579,0.573684211,2.944102288,1.186126456,9.579960813,7.982432806,1.652328913,5.797853403,4.831019261,0.030422737,0.030422737,9.052631579,10.4393424
9.526315789,0.573684211,2.941910416,1.185321036,9.567911153,7.967044827,1.651200522,5.794518004,4.825001398,0.030306667,0.030306667,9.526315789,10.43396264
10,0.573684211,2.93972472,1.184502612,9.555833593,7.951640593,1.65007512,5.791150643,4.818956723,0.030191451,0.030191451,10,10.42830748
3.368421053,0.621052632,3.012060632,1.189457478,9.761787648,8.17865773,1.694172519,5.761979691,4.827523548,0.031745442,0.031745442,3.368421053,11.84039727
2.894736842,0.621052632,3.013959223,1.189147263,9.767855218,8.188536639,1.695288796,5.761764745,4.830172097,0.031848302,0.031848302,2.894736842,11.85076428
2.421052632,0.621052632,3.015866743,1.188828958,9.77405049,8.198561477,1.696403053,5.761632222,4.832908938,0.031952333,0.031952333,2.421052632,11.86281533
1.947368421,0.621052632,3.017808461,1.188512463,9.780228895,8.208571841,1.697529091,5.76144995,4.8356001,0.03205785,0.03205785,1.947368421,11.87316954
1.473684211,0.621052632,3.019764757,1.188192817,9.786457652,8.218648609,1.698654947,5.761298178,4.838327303,0.03216476,0.03216476,1.473684211,11.88338426
1,0.621052632,3.021735869,1.187869998,9.792736862,8.228792485,1.699780301,5.761177994,4.841091806,0.032273104,0.032273104,1,11.8934519
3.842105263,0.621052632,3.009619541,1.18864465,9.748194148,8.161662393,1.692963257,5.758065986,4.820932975,0.031613187,0.031613187,3.842105263,11.82928956
4.315789474,0.621052632,3.007617524,1.188684218,9.740440722,8.150216289,1.69182779,5.757347633,4.817403011,0.031505757,0.031505757,4.315789474,11.81846131
4.789473684,0.621052632,3.005628265,1.188719995,9.732731647,8.13882733,1.690693524,5.756650456,4.813898684,0.031399567,0.031399567,4.789473684,11.80748496
5.263157895,0.621052632,3.003651567,1.18875202,9.725066672,8.127494893,1.689560664,5.755973657,4.810419103,0.031294585,0.031294585,5.263157895,11.79636665
5.736842105,0.621052632,3.001687209,1.188780348,9.71744542,8.11621811,1.688429386,5.75531645,4.80696331,0.031190778,0.031190778,5.736842105,11.78511203
6.210526316,0.621052632,2.999425357,1.187892972,9.703811739,8.0991688,1.687318975,5.751023892,4.800022355,0.031063704,0.031063704,6.210526316,11.77489632
6.684210526,0.621052632,2.99730535,1.187582983,9.694038037,8.085888266,1.686155028,5.74919736,4.79545957,0.030953436,0.030953436,6.684210526,11.76277063
7.157894737,0.621052632,2.995195897,1.187266265,9.684287987,8.072642624,1.684993542,5.74737395,4.790904193,0.030844242,0.030844242,7.157894737,11.75047849
7.631578947,0.621052632,2.993096851,1.18694288,9.674561363,8.059431631,1.683834512,5.745553552,4.786356125,0.030736097,0.030736097,7.631578947,11.73802427
8.105263158,0.621052632,2.991008042,1.186612905,9.66485809,8.046254845,1.68267806,5.743735727,4.781814796,0.030628976,0.030628976,8.105263158,11.7254131
8.578947368,0.621052632,2.988410426,1.185233628,9.648157903,8.026460621,1.681440466,5.738031227,4.773562182,0.030495541,0.030495541,8.578947368,11.71118869
9.052631579,0.621052632,2.986131985,1.184467495,9.635657227,8.010656191,1.68025643,5.734634937,4.767520033,0.030379466,0.030379466,9.052631579,11.6975992
9.526315789,0.621052632,2.98385949,1.183687895,9.623133273,7.994841058,1.67907456,5.731212599,4.761456846,0.030264247,0.030264247,9.526315789,11.68378611
10,0.621052632,2.981592827,1.182894909,9.610586321,7.979015253,1.677895113,5.727763461,4.755371888,0.030149863,0.030149863,10,11.66975324
7.157894737,0.336842105,2.804555179,1.231739999,8.827665969,7.347145575,1.541832975,5.725435965,4.765201999,0.032026598,0.032026598,7.157894737,-999999
6.684210526,0.336842105,2.806305194,1.23242776,8.831345723,7.354533569,1.542697492,5.724612746,4.767320625,0.032150917,0.032150917,6.684210526,-999999
5.263157895,0.336842105,2.811805774,1.235297638,8.845164817,7.37949348,1.545131117,5.724539955,4.775965869,0.032554487,0.032554487,5.263157895,-999999
6.210526316,0.336842105,2.8080652,1.233113612,8.834978536,7.361884188,1.543564814,5.723749631,4.769403992,0.032276613,0.032276613,6.210526316,-999999
5.736842105,0.336842105,2.809736492,1.233799958,8.838454674,7.36915817,1.544364038,5.723038387,4.771645796,0.03240379,0.03240379,5.736842105,-999999
7.631578947,0.336842105,2.802390578,1.22990173,8.819363927,7.335318362,1.54110677,5.72274686,4.759772981,0.031873156,0.031873156,7.631578947,-999999
4.789473684,0.336842105,2.813448414,1.235610524,8.8472026,7.385342929,1.546040825,5.722489637,4.776939139,0.032674636,0.032674636,4.789473684,-999999
8.105263158,0.336842105,2.800489867,1.228746984,8.813739102,7.326073404,1.540303219,5.722080556,4.756254037,0.031739387,0.031739387,8.105263158,-999999
8.578947368,0.336842105,2.798596068,1.227583463,8.808031557,7.31675582,1.539503371,5.721346068,4.752672816,0.031606817,0.031606817,8.578947368,-999999
4.315789474,0.336842105,2.815102412,1.2359247,8.849206443,7.391168549,1.54695205,5.720414181,4.777891176,0.032796311,0.032796311,4.315789474,-999999
3.842105263,0.336842105,2.816768004,1.236240237,8.851174487,7.39696921,1.547864634,5.718313018,4.778821769,0.032919559,0.032919559,3.842105263,-999999
9.052631579,0.336842105,2.796356797,1.225464441,8.798402514,7.303674772,1.538815532,5.717646029,4.7462965,0.031450632,0.031450632,9.052631579,-999999
2.894736842,0.336842105,2.82045188,1.237734651,8.85828714,7.411654404,1.549592445,5.716527058,4.782970147,0.033194844,0.033194844,2.894736842,-999999
3.368421053,0.336842105,2.81844542,1.236557221,8.853104699,7.402743554,1.548778403,5.716185531,4.779730618,0.033044431,0.033044431,3.368421053,-999999
9.526315789,0.336842105,2.794265436,1.223712869,8.79021271,7.291984906,1.538088264,5.715024888,4.740940475,0.031305605,0.031305605,9.526315789,-999999
2.421052632,0.336842105,2.822042714,1.237751533,8.858977144,7.416257239,1.550544495,5.713462058,4.783001882,0.033314759,0.033314759,2.421052632,-999999
1.947368421,0.431578947,2.875752785,1.206499213,9.395612761,7.918149584,1.644673383,5.712752974,4.814420702,0.032560245,0.032560245,1.947368421,3.554446417
10,0.336842105,2.792175389,1.221939362,8.781871084,7.280156263,1.537365575,5.712285502,4.735475012,0.03116147,0.03116147,10,-999999
