DSH[K],DSC[K],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
2.909090909,5.363636364,2783443.419,1379445.327,10333.78167,9308.381078,1133.094466,9.11996482,8.215008863,0.037163013,0.037163013,2.909090909,5.363636364
2.727272727,4.454545455,2775868.243,1381182.544,10284.5617,9266.951606,1127.697642,9.119963821,8.217585332,0.037265631,0.037265631,2.727272727,4.454545455
2.727272727,4.363636364,2775058.375,1381367.141,10279.33443,9262.222025,1127.124609,9.119962735,8.217567031,0.037270862,0.037270862,2.727272727,4.363636364
3.272727273,5.545454545,2784065.94,1379274.238,10338.63865,9306.577885,1133.633595,9.119912023,8.20951137,0.037052266,0.037052266,3.272727273,5.545454545
2.818181818,5.272727273,2782901.909,1379579.943,10329.97568,9306.479632,1132.68575,9.119895505,8.21629444,0.037193485,0.037193485,2.818181818,5.272727273
2.636363636,4.545454545,2776940.545,1380951.409,10291.11994,9274.427617,1128.427626,9.119875923,8.218894506,0.037285934,0.037285934,2.636363636,4.545454545
2.818181818,4.272727273,2774033.579,1381599.882,10272.76424,9254.707357,1126.421848,9.11981977,8.2160226,0.03725066,0.03725066,2.818181818,4.272727273
2.727272727,5.181818182,2782361.225,1379714.942,10326.16046,9304.569847,1132.277239,9.119816335,8.217572101,0.037224049,0.037224049,2.727272727,5.181818182
2.545454545,5.090909091,2782056.607,1379801.726,10323.70268,9305.452387,1132.009347,9.119803394,8.220296424,0.03728022,0.03728022,2.545454545,5.090909091
2.545454545,5,2781250.586,1379985.021,10318.50967,9300.752709,1131.441222,9.119792937,8.220270331,0.037285423,0.037285423,2.545454545,5
2.545454545,4.636363636,2778013.884,1380720.165,10297.6816,9281.90832,1129.157622,9.119791068,8.220206054,0.037306294,0.037306294,2.545454545,4.636363636
2.545454545,4.909090909,2780444.806,1380168.563,10313.31068,9296.047167,1130.872884,9.119778908,8.220240574,0.037290634,0.037290634,2.545454545,4.909090909
2.545454545,4.818181818,2779639.301,1380352.354,10308.10568,9291.335716,1130.304352,9.119761124,8.220206976,0.037295852,0.037295852,2.545454545,4.818181818
2.454545455,4.727272727,2779088.236,1380488.814,10304.24676,9289.393738,1129.887612,9.119709479,8.221520126,0.037326714,0.037326714,2.454545455,4.727272727
2.909090909,4.181818182,2773009.713,1381832.52,10266.19744,9247.197232,1125.719166,9.119678994,8.214479692,0.037230515,0.037230515,2.909090909,4.181818182
2.818181818,5.363636364,2783759.531,1379399.474,10335.12814,9311.1079,1133.283629,9.119630661,8.216043767,0.037188377,0.037188377,2.818181818,5.363636364
2.636363636,4.454545455,2776184.289,1381137.727,10285.88108,9269.653375,1127.886979,9.119602651,8.218601287,0.037291218,0.037291218,2.636363636,4.454545455
2.636363636,4.363636364,2775374.181,1381322.448,10280.6505,9264.920542,1127.313856,9.119599167,8.218581268,0.037296458,0.037296458,2.636363636,4.363636364
2.727272727,5.272727273,2783218.53,1379534.106,10331.32198,9309.207187,1132.875245,9.119558416,8.217327747,0.037218926,0.037218926,2.727272727,5.272727273
2.545454545,4.545454545,2777257.333,1380906.356,10292.44556,9277.136759,1128.617192,9.119518674,8.219914444,0.037311581,0.037311581,2.545454545,4.545454545
2.636363636,5.181818182,2782678.35,1379669.121,10327.50628,9307.298133,1132.466772,9.119478411,8.218605933,0.037249566,0.037249566,2.636363636,5.181818182
3,5.454545455,2784097.547,1379314.856,10337.54986,9310.177723,1133.569749,9.119465186,8.213149419,0.037132738,0.037132738,3,5.454545455
2.454545455,5.090909091,2782374.834,1379755.81,10325.05119,9308.185514,1132.199275,9.119464584,8.221331457,0.037305882,0.037305882,2.454545455,5.090909091
2.727272727,4.272727273,2774348.631,1381555.422,10274.07418,9257.39856,1126.610976,9.11945152,8.217032105,0.037276197,0.037276197,2.727272727,4.272727273
2.454545455,5,2781568.692,1379939.231,10319.85485,9303.482515,1131.631134,9.119451153,8.221303066,0.037311095,0.037311095,2.454545455,5
2.454545455,4.636363636,2778331.419,1380674.881,10299.01351,9284.624783,1129.347416,9.119437794,8.221229932,0.037332002,0.037332002,2.454545455,4.636363636
2.454545455,4.909090909,2780762.791,1380122.899,10314.65254,9298.773628,1131.06278,9.119434154,8.221270997,0.037316314,0.037316314,2.454545455,4.909090909
2.454545455,4.818181818,2779957.164,1380306.817,10309.44422,9294.058823,1130.49423,9.119413396,8.221235084,0.037321541,0.037321541,2.454545455,4.818181818
2.363636364,4.727272727,2779406.519,1380443.292,10305.58497,9292.117622,1130.077634,9.119360167,8.222548025,0.037352481,0.037352481,2.363636364,4.727272727
3.272727273,5.636363636,2784977.995,1379096.895,10343.74448,9311.126822,1134.262997,9.119352836,8.208966393,0.037047273,0.037047273,3.272727273,5.636363636
3.181818182,3.909090909,2769935.306,1382529.55,10246.5186,9224.700933,1123.605974,9.119316587,8.209907337,0.037170412,0.037170412,3.181818182,3.909090909
2.818181818,4.181818182,2773324.011,1381788.292,10267.50105,9249.881152,1125.907949,9.119307721,8.215486143,0.037255993,0.037255993,2.818181818,4.181818182
2.727272727,5.363636364,2784076.245,1379353.513,10336.47768,9313.838738,1133.473122,9.119296677,8.217079482,0.037213809,0.037213809,2.727272727,5.363636364
2.545454545,4.454545455,2776500.933,1381092.804,10287.20335,9272.359121,1128.076508,9.1192426,8.219619021,0.037316875,0.037316875,2.545454545,4.454545455
2.545454545,4.363636364,2775690.583,1381277.648,10281.96946,9267.62303,1127.503296,9.119236718,8.219597284,0.037322123,0.037322123,2.545454545,4.363636364
2.636363636,5.272727273,2783535.751,1379488.159,10332.67107,9311.938781,1133.064775,9.119223629,8.218364019,0.037244434,0.037244434,2.636363636,5.272727273
2.909090909,4.090909091,2772300.35,1382021.062,10260.93127,9242.368235,1125.205016,9.119165958,8.213941555,0.037235847,0.037235847,2.909090909,4.090909091
2.454545455,4.545454545,2777574.723,1380861.2,10293.77411,9279.849845,1128.80695,9.119162586,8.220936133,0.037337297,0.037337297,2.454545455,4.545454545
