DSH_target,DSC_target,f_comp,P_cond [MPa],P_eva [MPa],Q_cond [kW],Q_eva [kW],W_comp [kW],COP_H,COP_R,mtot [kg],mdot [kg/s],DSH [K],DSC [K]
1.0,1.9473684210526314,40.625,2.671462312695556,1.4383232537470811,8.57881425557646,7.850417541040506,0.8408216489010849,10.202894117662854,9.336602537887362,-999999.0,0.032050826649063,1.0,1.9473684210526314
1.0,1.9473684210526314,41.66666666666667,2.6821073568366733,1.4321553024385107,8.759793371230367,8.004445822577772,0.8707156714373787,10.060452175817266,9.19295021917318,-999999.0,0.032722969479787645,1.0,1.9473684210526314
1.0,1.9473684210526314,42.708333333333336,2.6926053284238374,1.4260712270557794,8.939414381457258,8.156874400809551,0.9008250501780293,9.923585472773619,9.054892955294166,-999999.0,0.03338984427751007,1.0,1.9473684210526314
1.0,1.9473684210526314,43.75,2.7030521207458205,1.420072031721269,9.117678545746033,8.307661369344064,0.9311920739599506,9.791404803278182,8.921533592973178,-999999.0,0.03405163283209949,1.0,1.9473684210526314
1.0,1.9473684210526314,44.79166666666667,2.7134488320390107,1.4141557174395736,9.294612398925361,8.456840096586808,0.9618102505176991,9.66366535802929,8.792628371380813,-999999.0,0.034708440722468904,1.0,1.9473684210526314
1.0,1.9473684210526314,45.833333333333336,2.723852827141414,1.4083222966465725,9.470225161427795,8.604393872971242,0.9927050543922045,9.53981761201574,8.667623716532184,-999999.0,0.03536042191499242,1.0,1.9473684210526314
1.0,1.9473684210526314,46.875,2.7341091197323206,1.402564513202698,9.644587868497078,8.75049008281751,1.0237826142816162,9.420542734323186,8.547214966096773,-999999.0,0.03600753245542047,1.0,1.9473684210526314
1.0,1.9473684210526314,47.91666666666667,2.7443179575182612,1.396883959458793,9.81769572168376,8.895073684557932,1.0550921410019836,9.305060041827478,8.43061315584305,-999999.0,0.03664995670141795,1.0,1.9473684210526314
1.0,1.9473684210526314,48.958333333333336,2.7544803198908356,1.3912788851524784,9.989572227536474,9.038174266443756,1.0866280109337483,9.19318490506457,8.317634163210258,-999999.0,0.03728778761424416,1.0,1.9473684210526314
1.0,1.9473684210526314,50.0,2.7646635422332526,1.3857500014190025,10.160219823565797,9.179759194338216,1.1184245474549288,9.084403455455488,8.207759043940467,-999999.0,0.03792118490470514,1.0,1.9473684210526314
1.0,2.4210526315789473,25.0,,,,,,,,,,,
1.0,2.4210526315789473,26.041666666666668,,,,,,,,,,,
1.0,2.4210526315789473,27.083333333333332,,,,,,,,,,,
1.0,2.4210526315789473,28.125,,,,,,,,,,,
1.0,2.4210526315789473,29.166666666666668,,,,,,,,,,,
1.0,2.4210526315789473,30.208333333333336,,,,,,,,,,,
1.0,2.4210526315789473,31.25,,,,,,,,,,,
1.0,2.4210526315789473,32.291666666666664,2.5865859554208663,1.490275508505755,7.097886935590765,6.572550321029296,0.6134839720083033,11.569800124288653,10.713483352325198,-999999.0,0.026457339011700404,1.0,2.4210526315789473
1.0,2.4210526315789473,33.333333333333336,2.5978191249517697,1.4833113544712098,7.291579547565791,6.741842686303284,0.6410644326674124,11.374175786396655,10.51663817668229,-999999.0,0.027174618615560944,1.0,2.4210526315789473
