CA,charge_target,P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
4.79E-07,0.310526316,,,,,,,,,,,
4.79E-07,0.326315789,,,,,,,,,,,
4.79E-07,0.342105263,,,,,,,,,,,
4.79E-07,0.357894737,,,,,,,,,,,
4.79E-07,0.373684211,,,,,,,,,,,
4.79E-07,0.389473684,,,,,,,,,,,
4.79E-07,0.405263158,,,,,,,,,,,
4.79E-07,0.421052632,,,,,,,,,,,
4.79E-07,0.436842105,,,,,,,,,,,
4.79E-07,0.452631579,,,,,,,,,,,
4.79E-07,0.468421053,,,,,,,,,,,
4.79E-07,0.484210526,,,,,,,,,,,
4.79E-07,0.5,,,,,,,,,,,
5.26E-07,0.2,,,,,,,,,,,
5.26E-07,0.215789474,,,,,,,,,,,
5.26E-07,0.231578947,,,,,,,,,,,
5.26E-07,0.247368421,,,,,,,,,,,
5.26E-07,0.263157895,,,,,,,,,,,
5.26E-07,0.278947368,,,,,,,,,,,
5.26E-07,0.294736842,,,,,,,,,,,
5.26E-07,0.310526316,,,,,,,,,,,
5.26E-07,0.326315789,,,,,,,,,,,
5.26E-07,0.342105263,,,,,,,,,,,
5.26E-07,0.357894737,,,,,,,,,,,
5.26E-07,0.373684211,,,,,,,,,,,
5.26E-07,0.389473684,,,,,,,,,,,
5.26E-07,0.405263158,,,,,,,,,,,
5.26E-07,0.421052632,,,,,,,,,,,
5.26E-07,0.436842105,,,,,,,,,,,
5.26E-07,0.452631579,,,,,,,,,,,
5.26E-07,0.468421053,,,,,,,,,,,
5.26E-07,0.484210526,,,,,,,,,,,
5.26E-07,0.5,,,,,,,,,,,
5.74E-07,0.2,,,,,,,,,,,
5.74E-07,0.215789474,,,,,,,,,,,
5.74E-07,0.231578947,,,,,,,,,,,
5.74E-07,0.247368421,,,,,,,,,,,
5.74E-07,0.263157895,,,,,,,,,,,
5.74E-07,0.278947368,,,,,,,,,,,
5.74E-07,0.294736842,,,,,,,,,,,
5.74E-07,0.310526316,,,,,,,,,,,
5.74E-07,0.326315789,,,,,,,,,,,
5.74E-07,0.342105263,,,,,,,,,,,
5.74E-07,0.357894737,,,,,,,,,,,
5.74E-07,0.373684211,,,,,,,,,,,
5.74E-07,0.389473684,,,,,,,,,,,
5.74E-07,0.405263158,,,,,,,,,,,
5.74E-07,0.421052632,,,,,,,,,,,
5.74E-07,0.436842105,,,,,,,,,,,
5.74E-07,0.452631579,,,,,,,,,,,
5.74E-07,0.468421053,,,,,,,,,,,
5.74E-07,0.484210526,,,,,,,,,,,
5.74E-07,0.5,,,,,,,,,,,
