DSH[K],charge[kg],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
1.9473684210526314,0.1631578947368421,2340379.442999768,1622174.6078500797,2760.7059098650666,1905.194869641147,1339.6952396420995,2.060696961648226,1.422110651188192,0.16315789475998566,0.044500951214371205,1.9473684210526314,0.0
1.9473684210526314,0.1842105263157895,2490357.0151373185,1492595.3728600123,4751.601937139696,3666.429872275843,1173.3429586497994,4.049627521187416,3.1247725528560832,0.18421052637156482,0.04070700414614918,1.9473684210526314,0.0
1.9473684210526314,0.20526315789473684,2588993.121646314,1411525.1473631172,6013.9093843199635,4802.922418742272,1770.3653909893253,3.396987658552926,2.712955440265513,0.20526315789419966,0.03836757721471786,1.9473684210526314,0.0
1.9473684210526314,0.22631578947368422,2658313.4031518204,1358195.2090013658,6877.0541395871915,5589.201370347403,1369.1350317661193,5.022918835636042,4.082286436815219,0.22631578944561082,0.03684234665838444,1.9473684210526314,0.0
1.9473684210526314,0.24736842105263157,2709273.9591404614,1319751.7918193694,7499.3988094283295,6160.244065996431,1846.854079203457,4.060634185383394,3.335533724815621,0.2473684218854091,0.03574937891440286,1.9473684210526314,0.0
1.9473684210526314,0.26842105263157895,2747782.5408035237,1291479.8506982117,7963.210123953249,6588.185684749657,1478.5689474286387,5.385755015213847,4.455785234910479,0.2684210526133372,0.03494899031829254,1.9473684210526314,0.0
1.9473684210526314,0.2894736842105263,2777618.6273292475,1270087.3974201824,8317.824594735423,6916.673051485742,1505.313005345216,5.525644543825543,4.5948404264929135,0.28947368419552755,0.03434533466092816,1.9473684210526314,0.0
1.9473684210526314,0.31052631578947365,2800947.875445767,1253559.1777308623,8593.946864667074,7173.312087852291,1529.154556074354,5.620064257421732,4.691031432602614,0.3105263157885425,0.03387999726585983,1.9473684210526314,5.684341886080802e-14
1.9473684210526314,0.3315789473684211,2819590.629140633,1240574.126679387,8812.320863779963,7376.71491836493,1547.5641787880738,5.694316904311559,4.766661712305703,0.33157894650853564,0.03351508494482777,1.9473684210526314,0.0
1.9473684210526314,0.3526315789473684,2834589.3914993117,1230243.8442901035,8986.9504634521,7539.671848105393,1561.981273847979,5.75355839018001,4.826992470614726,0.3526315771679217,0.03322519551245884,1.9473684210526314,0.0
1.9473684210526314,0.37368421052631584,2846647.9914055825,1221944.8434735928,9127.761252862249,7671.328320947483,1863.447700402995,4.898318987373915,4.1167392673743715,0.37368421052680484,0.032992572776347436,1.9473684210526314,0.0
1.9473684210526314,0.39473684210526316,2856739.1414122847,1215261.4070619708,9241.759949512138,7777.841850295473,1787.5495230594215,5.170072118446659,4.351119647294338,0.39473684177614976,0.0328054038825348,1.9473684210526314,0.46550829461182275
1.9473684210526314,0.4157894736842105,2867267.8646645583,1209893.7280158803,9335.192519213555,7863.703638258742,1696.2530279622986,5.503419811387386,4.635926072718865,0.41578947327520077,0.03265519056496533,1.9473684210526314,2.321382246737585
1.9473684210526314,0.4368421052631579,2878691.6750820046,1205472.914461364,9414.145650595943,7934.633310319105,1632.5287197368027,5.766603390667269,4.860333061459605,0.43684210529554607,0.03253154640518842,1.9473684210526314,3.937625060422704
1.9473684210526314,0.45789473684210524,2890995.635241979,1201829.5430848938,9481.238835464956,7993.235571943363,1611.3706571774483,5.883958971967837,4.960519503280943,0.45789473685665255,0.03242969414196975,1.9473684210526314,5.343334778673011
1.9473684210526314,0.4789473684210527,2904210.0570552596,1198805.5548890026,9538.970208162067,8041.976209433185,1620.0992806089532,5.8878923793957965,4.963878637369937,0.47894736499497864,0.03234523440448165,1.9473684210526314,6.574644922140749
1.9473684210526314,0.5,2918345.9597711517,1196331.0146965873,9588.439612268361,8081.9292232829575,1630.2801191492813,5.881467546369783,4.957386849261401,0.5000000000004106,0.03227611274176164,1.9473684210526314,7.644137744085128
2.4210526315789473,0.1,,,,,,,,,,,
2.4210526315789473,0.12105263157894737,,,,,,,,,,,
2.4210526315789473,0.14210526315789473,,,,,,,,,,,
2.4210526315789473,0.1631578947368421,2343398.5314540863,1613964.7857525866,2833.323951455152,1963.6744227937722,1006.8494785658077,2.8140491819005953,1.9503157766848132,0.163157894533362,0.04407795246095056,2.4210526315789473,0.0
2.4210526315789473,0.1842105263157895,2490916.6672319905,1489147.155574247,4784.080349434381,3691.5154541468532,1138.4668068996773,4.202213292860596,3.2425323529631487,0.184210526318029,0.04044779318522106,2.4210526315789473,0.0
2.4210526315789473,0.20526315789473684,2588656.3929575267,1409887.7147213763,6032.021673506031,4815.609554518577,1413.9743226358694,4.266005101324187,3.4057263115935,0.20526315789473754,0.03817407178780785,2.4210526315789473,0.0
2.4210526315789473,0.22631578947368422,2657513.866094407,1356247.6084434532,6888.558004356221,5595.673143986288,1369.760729803801,5.0290228464521025,4.085146421731472,0.22631578940422106,0.03664853998000857,2.4210526315789473,0.0
2.4210526315789473,0.24736842105263157,2708124.315156654,1318274.5482252785,7505.817171644037,6162.120527984657,1489.2638467955046,5.039951240201351,4.137695641537182,0.24736842070713694,0.03557485846575564,2.4210526315789473,0.0
2.4210526315789473,0.26842105263157895,2746556.530338006,1291140.306221835,7967.700354441734,6588.4748726746175,1474.6781342042914,5.4030097616799315,4.46773754886495,0.2684210526289056,0.03481075540310172,2.4210526315789473,0.0
2.4210526315789473,0.2894736842105263,2776235.5223496067,1269879.2377649462,8320.230592204784,6915.001005865566,1504.5561531485353,5.530023306071568,4.5960404943310165,0.28947368419924036,0.0342138416830884,2.4210526315789473,0.0
2.4210526315789473,0.31052631578947365,2799461.010662557,1253448.5866829564,8594.789645010127,7170.152381235685,1528.2999033605217,5.623758547724412,4.6915872764694315,0.3105263157887103,0.03375359456180775,2.4210526315789473,0.0
2.4210526315789473,0.3315789473684211,2818008.021688366,1240538.8053977608,8811.932131528707,7372.387593355448,1546.6287307860348,5.697509658345909,4.76674682592287,0.3315789465395645,0.03339262014365909,2.4210526315789473,0.0
2.4210526315789473,0.3526315789473684,2832929.9510174906,1230267.6386116284,8985.584155816554,7534.414681562176,1560.9849417112275,5.7563554366937835,4.826705549960389,0.35263157697406977,0.03310582855883092,2.4210526315789473,5.684341886080802e-14
2.4210526315789473,0.37368421052631584,2845028.9120334885,1222014.1973463981,9125.705019436311,7665.346386587419,1622.9715579998965,5.622837303866598,4.723031866334104,0.37368421052713163,0.032875632261791105,2.4210526315789473,0.0
2.4210526315789473,0.39473684210526316,2854993.311358502,1215370.5344781494,9238.984224678294,7771.22165969997,1643.4569910902346,5.621676913217757,4.72858231266807,0.3947368415721743,0.03269049813535367,2.4210526315789473,0.49513243582805444
2.4210526315789473,0.4157894736842105,2865514.2886652616,1210035.6515328188,9331.88870321058,7856.553370897812,1631.9654104855204,5.718190252840151,4.814166599622008,0.41578947271481304,0.03254193939244651,2.4210526315789473,2.347503151988519
2.4210526315789473,0.4368421052631579,2876928.640221876,1205643.9007083303,9410.371181294702,7927.010868152328,1614.9949352943183,5.8268734939281694,4.90838125551626,0.43684210527985234,0.032419712833652754,2.4210526315789473,3.9597784655861687
2.4210526315789473,0.45789473684210524,2889221.4362580176,1202026.2421120733,9477.045944726851,7985.193688059925,1610.0578112457683,5.886152583175923,4.959569546065834,0.4578947368984842,0.032319076357070445,2.4210526315789473,5.361302357095838
2.4210526315789473,0.4789473684210527,2902411.062199136,1199025.5590832827,9534.392448075616,8033.553067590934,1619.010755833848,5.889023537193899,4.962013401481925,0.4789473652248405,0.03223564674377955,2.4210526315789473,6.588159195598337
2.4210526315789473,0.5,2916531.923435019,1196571.1286547692,9583.532207465641,8073.1762338413055,1629.1868635809856,5.882402087628453,4.955340860100174,0.500000000000228,0.032167419140306325,2.4210526315789473,7.653488513126206
2.894736842105263,0.1,,,,,,,,,,,
2.894736842105263,0.12105263157894737,,,,,,,,,,,
2.894736842105263,0.14210526315789473,,,,,,,,,,,
2.894736842105263,0.1631578947368421,2346631.703498655,1604839.6443805716,2908.613782587331,2024.0471215000423,906.467719710132,3.2087339894656597,2.232894870373638,0.16315789493835153,0.043634288734285556,2.894736842105263,0.0
2.894736842105263,0.1842105263157895,2491365.3470371184,1486183.5918142693,4814.488461135681,3714.917028642381,1138.8489381433712,4.227504017332261,3.2619927930904433,0.1842105266281547,0.04020600640846692,2.894736842105263,0.0
2.894736842105263,0.20526315789473684,2588306.8558027544,1408279.6405125184,6049.689545934356,4827.892765531108,1281.212279474855,4.721847927038297,3.768222364766884,0.2052631578947414,0.03798402774636258,2.894736842105263,0.0
