CA[m^2],charge[kg],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
2.1181818181818186e-07,0.3868686868686869,,,,,,,,,,,
2.1181818181818186e-07,0.3909090909090909,,,,,,,,,,,
2.1181818181818186e-07,0.39494949494949494,,,,,,,,,,,
2.1181818181818186e-07,0.398989898989899,,,,,,,,,,,
2.1181818181818186e-07,0.40303030303030307,,,,,,,,,,,
2.1181818181818186e-07,0.407070707070707,,,,,,,,,,,
2.1181818181818186e-07,0.4111111111111111,,,,,,,,,,,
2.1181818181818186e-07,0.41515151515151516,,,,,,,,,,,
2.1181818181818186e-07,0.4191919191919192,,,,,,,,,,,
2.1181818181818186e-07,0.4232323232323232,,,,,,,,,,,
2.1181818181818186e-07,0.42727272727272725,,,,,,,,,,,
2.1181818181818186e-07,0.4313131313131313,,,,,,,,,,,
2.1181818181818186e-07,0.4353535353535354,,,,,,,,,,,
2.1181818181818186e-07,0.43939393939393945,,,,,,,,,,,
2.1181818181818186e-07,0.4434343434343434,,,,,,,,,,,
2.1181818181818186e-07,0.44747474747474747,,,,,,,,,,,
2.1181818181818186e-07,0.45151515151515154,,,,,,,,,,,
2.1181818181818186e-07,0.4555555555555556,,,,,,,,,,,
2.1181818181818186e-07,0.45959595959595956,,,,,,,,,,,
2.1181818181818186e-07,0.4636363636363636,,,,,,,,,,,
2.1181818181818186e-07,0.4676767676767677,,,,,,,,,,,
2.1181818181818186e-07,0.47171717171717176,,,,,,,,,,,
2.1181818181818186e-07,0.4757575757575757,,,,,,,,,,,
2.1181818181818186e-07,0.4797979797979798,,,,,,,,,,,
2.1181818181818186e-07,0.48383838383838385,,,,,,,,,,,
2.1181818181818186e-07,0.4878787878787879,,,,,,,,,,,
2.1181818181818186e-07,0.491919191919192,,,,,,,,,,,
2.1181818181818186e-07,0.49595959595959593,,,,,,,,,,,
2.1181818181818186e-07,0.5,,,,,,,,,,,
3.127272727272728e-07,0.1,,,,,,,,,,,
3.127272727272728e-07,0.10404040404040404,,,,,,,,,,,
3.127272727272728e-07,0.10808080808080808,,,,,,,,,,,
3.127272727272728e-07,0.11212121212121212,,,,,,,,,,,
3.127272727272728e-07,0.11616161616161616,,,,,,,,,,,
3.127272727272728e-07,0.1202020202020202,,,,,,,,,,,
3.127272727272728e-07,0.12424242424242425,,,,,,,,,,,
3.127272727272728e-07,0.12828282828282828,,,,,,,,,,,
3.127272727272728e-07,0.13232323232323234,,,,,,,,,,,
3.127272727272728e-07,0.13636363636363635,,,,,,,,,,,
3.127272727272728e-07,0.14040404040404042,,,,,,,,,,,
3.127272727272728e-07,0.14444444444444446,,,,,,,,,,,
3.127272727272728e-07,0.1484848484848485,,,,,,,,,,,
3.127272727272728e-07,0.15252525252525254,,,,,,,,,,,
3.127272727272728e-07,0.15656565656565657,,,,,,,,,,,
3.127272727272728e-07,0.1606060606060606,,,,,,,,,,,
3.127272727272728e-07,0.16464646464646465,,,,,,,,,,,
3.127272727272728e-07,0.1686868686868687,,,,,,,,,,,
3.127272727272728e-07,0.17272727272727273,,,,,,,,,,,
3.127272727272728e-07,0.17676767676767677,,,,,,,,,,,
3.127272727272728e-07,0.1808080808080808,,,,,,,,,,,
3.127272727272728e-07,0.18484848484848487,,,,,,,,,,,
3.127272727272728e-07,0.18888888888888888,,,,,,,,,,,
3.127272727272728e-07,0.19292929292929295,,,,,,,,,,,
3.127272727272728e-07,0.19696969696969696,,,,,,,,,,,
3.127272727272728e-07,0.20101010101010103,,,,,,,,,,,
3.127272727272728e-07,0.20505050505050504,,,,,,,,,,,
3.127272727272728e-07,0.2090909090909091,,,,,,,,,,,
3.127272727272728e-07,0.21313131313131314,,,,,,,,,,,
3.127272727272728e-07,0.21717171717171718,,,,,,,,,,,
3.127272727272728e-07,0.22121212121212122,,,,,,,,,,,
3.127272727272728e-07,0.22525252525252526,,,,,,,,,,,
3.127272727272728e-07,0.2292929292929293,,,,,,,,,,,
3.127272727272728e-07,0.23333333333333334,,,,,,,,,,,
3.127272727272728e-07,0.23737373737373738,,,,,,,,,,,
3.127272727272728e-07,0.24141414141414141,,,,,,,,,,,
3.127272727272728e-07,0.24545454545454545,,,,,,,,,,,
3.127272727272728e-07,0.2494949494949495,,,,,,,,,,,
3.127272727272728e-07,0.2535353535353535,,,,,,,,,,,
3.127272727272728e-07,0.25757575757575757,,,,,,,,,,,
3.127272727272728e-07,0.26161616161616164,,,,,,,,,,,
3.127272727272728e-07,0.2656565656565657,,,,,,,,,,,
3.127272727272728e-07,0.2696969696969697,,,,,,,,,,,
3.127272727272728e-07,0.2737373737373737,,,,,,,,,,,
3.127272727272728e-07,0.2777777777777778,,,,,,,,,,,
3.127272727272728e-07,0.28181818181818186,,,,,,,,,,,
3.127272727272728e-07,0.28585858585858587,,,,,,,,,,,
3.127272727272728e-07,0.2898989898989899,,,,,,,,,,,
3.127272727272728e-07,0.29393939393939394,,,,,,,,,,,
3.127272727272728e-07,0.297979797979798,,,,,,,,,,,
3.127272727272728e-07,0.302020202020202,,,,,,,,,,,
3.127272727272728e-07,0.30606060606060603,,,,,,,,,,,
3.127272727272728e-07,0.3101010101010101,,,,,,,,,,,
3.127272727272728e-07,0.31414141414141417,,,,,,,,,,,
3.127272727272728e-07,0.3181818181818182,,,,,,,,,,,
3.127272727272728e-07,0.3222222222222222,,,,,,,,,,,
3.127272727272728e-07,0.32626262626262625,,,,,,,,,,,
3.127272727272728e-07,0.3303030303030303,,,,,,,,,,,
3.127272727272728e-07,0.3343434343434344,,,,,,,,,,,
3.127272727272728e-07,0.3383838383838384,,,,,,,,,,,
3.127272727272728e-07,0.3424242424242424,,,,,,,,,,,
3.127272727272728e-07,0.3464646464646465,,,,,,,,,,,
3.127272727272728e-07,0.35050505050505054,,,,,,,,,,,
3.127272727272728e-07,0.3545454545454545,,,,,,,,,,,
3.127272727272728e-07,0.35858585858585856,,,,,,,,,,,
3.127272727272728e-07,0.36262626262626263,,,,,,,,,,,
3.127272727272728e-07,0.3666666666666667,,,,,,,,,,,
3.127272727272728e-07,0.37070707070707076,,,,,,,,,,,
3.127272727272728e-07,0.3747474747474747,,,,,,,,,,,
3.127272727272728e-07,0.3787878787878788,,,,,,,,,,,
3.127272727272728e-07,0.38282828282828285,,,,,,,,,,,
3.127272727272728e-07,0.3868686868686869,,,,,,,,,,,
